artist_id,Name,Type,Popularity,Genres,Followers
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,artist,85,"puerto rican pop, reggaeton, trap latino, urbano latino",37675259
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,artist,73,"chamber pop, eau claire indie, indie folk, melancholia, modern rock",3457774
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,artist,75,"australian pop, pop, viral pop",7780207
6oMuImdp5ZcFhWP0ESe6mG,Migos,artist,74,"atl hip hop, hip hop, pop rap, rap, trap",13376704
7DMveApC7UnC2NPfPvlHSU,Cheat Codes,artist,66,"edm, pop, pop dance",2187132
5Lv2GUVwqmQBPwrTrxucE5,Os Barões Da Pisadinha,artist,66,"agronejo, arrocha, forro, piseiro, sertanejo universitario",6845180
0XHiH53dHrvbwfjYM7en7I,Chris Cornell,artist,58,"alternative metal, alternative rock, grunge, hard rock, nu metal, post-grunge, rock",2039013
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,artist,75,"boy band, pop",9565236
1W7FNibLa0O0b572tB2w7t,Pink Sweat$,artist,66,bedroom soul,1735444
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,artist,82,"big room, brostep, dutch edm, edm, house, pop dance, slap house, trance",7047988
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,artist,87,"conscious hip hop, hip hop, rap, west coast rap",24970561
6jJ0s89eD6GaHleKKya26X,Katy Perry,artist,82,pop,28613704
1GDbiv3spRmZ1XdM1jQbT7,NATTI NATASHA,artist,71,"latin pop, rap latina, reggaeton, urbano latino",9295935
0YinUQ50QDB7ZxSCLyQ40k,Mustard,artist,70,"cali rap, pop rap, rap, southern hip hop, trap",1085703
1URnnhqYAYcrqrcwql10ft,21 Savage,artist,89,"atl hip hop, hip hop, rap, trap",14455611
5j21TGkrNEAJe3gG9VlS34,Shindy,artist,65,german hip hop,863236
1qQLhymHXFPtP5U8KNKsm6,Apache 207,artist,74,german hip hop,2438886
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,artist,78,"atl hip hop, hip hop, pop rap, rap, trap",2874572
7Do8se3ZoaVqUt3woqqSrD,MACHETE,artist,53,"italian hip hop, italian pop, trap italiana",445190
2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,artist,66,"boy band, pop",3619640
1o2NpYGqHiCq7FoiYdyd1x,Bea Miller,artist,64,"alt z, pop, talent show",3105823
1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,artist,77,"melodic metalcore, metalcore, modern rock, pop punk, rock, uk metalcore",5012266
3hBQ4zniNdQf1cqqo6hzuW,Salmo,artist,67,"italian hip hop, italian pop, italian underground hip hop, rap sardegna",2392242
6KImCVD70vtIoJWnq6nGn3,Harry Styles,artist,86,pop,28782949
3drqpTL4sQOckmAfF9i1wg,Summer Cem,artist,67,german hip hop,1102701
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,artist,86,"hip hop, melodic rap, philly rap, rage rap, rap, trap",15668067
3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,artist,72,pop soul,1032354
2uFC1dAj5b0YU7vulKNZ0p,Banx & Ranx,artist,54,basshall,21631
0C0XlULifJtAgn6ZNCW2eu,The Killers,artist,74,"alternative rock, dance rock, modern rock, permanent wave, rock",7077553
2x7PC78TmgqpEIjaGAZ0Oz,Trueno,artist,70,"argentine hip hop, bases de freestyle, trap argentino, trap latino, urbano latino",4988239
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,artist,80,"latin hip hop, reggaeton, trap latino, urbano latino",19124428
21dooacK2WGBB5amYvKyfM,Smokepurpp,artist,58,"melodic rap, miami hip hop, trap, underground hip hop",2455218
5KNNVgR6LBIABRIomyCwKJ,Dermot Kennedy,artist,71,"folk-pop, irish pop, uk pop",1395240
3wyVrVrFCkukjdVIdirGVY,Lil Pump,artist,63,"emo rap, miami hip hop, pop rap, rap, trap",8005238
6LnJKrtFnTEGdbWQ2riWCL,Ezhel,artist,69,"turkish hip hop, turkish trap",5911868
6hkKbkZGvAXuvle2FhCnxy,Shablo,artist,61,"italian hip hop, italian pop",49020
6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,artist,74,pop,5260720
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,artist,79,"emo, modern rock, pop, pop punk, rock",10201377
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,artist,75,"houston rap, pop, rap, trap queen",7855360
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,artist,74,"hip hop, miami hip hop, pop rap, rap",10197209
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,artist,78,"hip hop, pop rap, r&b, southern hip hop, trap, trap soul",4701426
7gXb99Sf9nNmpNYeAgIQFG,Sub Urban,artist,64,modern indie pop,1515894
7dGJo4pcD2V6oG8kP0tJRR,Eminem,artist,88,"detroit hip hop, hip hop, rap",74931735
5p7mWeX4RlvqBCxylfiXdE,KC Rebell,artist,61,"german drill, german hip hop",1197924
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,artist,82,"boy band, pop, post-teen pop, talent show",32519531
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",artist,83,"hip hop, rap",12295795
1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,artist,64,"boy band, rap",2128730
5DUlefCLzVRzNWaNURTFpK,Cali Y El Dandee,artist,67,"colombian pop, electro latino, latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",3961193
1cNDP5yjU5vjeR8qMf4grg,YNW Melly,artist,73,"melodic rap, rap",9363763
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,artist,79,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",11158953
74XFHRwlV6OrjEM0A2NCMF,Paramore,artist,77,"candy pop, pixie, pop, pop emo, pop punk, rock",7975571
23fqKkggKUBHNkbKtXEls4,Kygo,artist,77,"edm, pop, pop dance, tropical house",8415208
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,artist,81,"pop, viral pop",21001979
3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,artist,70,"modern folk rock, modern rock, neo mellow, stomp and holler, uk americana",6533048
04gDigrS5kc9YWfZHwBETP,Maroon 5,artist,83,pop,41187499
23TFHmajVfBtlRx5MXqgoz,Sfera Ebbasta,artist,79,"italian hip hop, italian pop, trap italiana, trap latino",5616372
1r4hJ1h58CWwUQe3MxPuau,Maluma,artist,82,"latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",34330215
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,artist,81,"canadian pop, pop, viral pop",42202849
6wWVKhxIU2cEi0K81v7HvP,Rammstein,artist,78,"german metal, industrial, industrial metal, industrial rock, neue deutsche harte",8511988
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,artist,86,"big room, dance pop, edm, pop, pop dance",26445596
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,artist,83,"art pop, dance pop, pop",27505010
293zczrfYafIItmnmM3coR,Chuck Berry,artist,64,"blues, blues rock, classic rock, rock, rock-and-roll, rockabilly, soul",1844539
2hPgGN4uhvXAxiXQBIXOmE,KIDS SEE GHOSTS,artist,57,rap,923690
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,artist,74,"pop, scandipop, swedish electropop, swedish pop",10383559
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,artist,81,"pop, post-teen pop",44210760
4STHEaNw4mPZ2tzheohgXB,Paul McCartney,artist,68,"beatlesque, classic rock, mellow gold, rock",4489138
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,artist,88,"art pop, electropop, pop",84331151
6h1s4i4XKIYv4ErDelLDN0,Samra,artist,66,german hip hop,1259209
3ATyg4fGC9F8trfb0GRWmX,Joey Montana,artist,57,"latin pop, reggaeton, urbano latino",2770303
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,artist,69,"alt z, electropop, pop",2186043
540vIaP2JwjQb9dm3aArA4,DJ Snake,artist,76,"edm, electronic trap, pop, pop dance",8664798
7n2Ycct7Beij7Dj7meI4X0,TWICE,artist,78,"k-pop, k-pop girl group, pop",18497671
2yEwvVSSSUkcLeSTNyHKh8,TOOL,artist,67,"alternative metal, art rock, nu metal, post-grunge, progressive metal, progressive rock, rock",3248930
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,artist,72,"metropopolis, pop, swedish electropop, swedish pop, swedish synthpop",3468165
5zctI4wO9XSKS8XwcnqEHk,Lil Mosey,artist,67,"melodic rap, rap conscient",5177914
0A0FS04o6zMoto8OKPsDwY,YG,artist,72,"cali rap, hip hop, pop rap, rap, southern hip hop, trap",3141648
5vBSrE1xujD2FXYRarbAXc,Years & Years,artist,66,"gauze pop, pop, uk pop",1973225
4r63FhuTkUYltbVAg5TQnk,DaBaby,artist,79,"hip hop, north carolina hip hop, pop rap, rap, trap",11057664
1z4g3DjTBBZKhvAroFlhOM,Red Velvet,artist,68,"k-pop, k-pop girl group",8641330
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,artist,77,"deep underground hip hop, kentucky hip hop, pop rap, rap",2968427
6extd4B6hl8VTmnlhpl2bY,Huncho Jack,artist,56,"melodic rap, rap, trap",1150527
55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,artist,68,"alt z, pop",1192640
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,artist,78,"modern rock, pop, pov: indie, rock",23933762
1bAftSH8umNcGZ0uyV7LMg,Duki,artist,84,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino",9176345
27w1NoOLMX7tJMYqcetPyG,VIC MENSA,artist,56,"canadian hip hop, chicago rap, conscious hip hop, rap, underground hip hop",612694
50co4Is1HCEo8bhOyUWKpn,Young Thug,artist,84,"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap",8715727
0b1sIQumIAsNbqAoIClSpy,j-hope,artist,70,"k-pop, k-rap",15594537
7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,artist,63,pop rap,540944
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,artist,75,"dance pop, pop",7712695
5CiGnKThu5ctn9pBxv7DGa,benny blanco,artist,69,pop,1060988
4bw2Am3p9ji3mYsXNXtQcd,Piso 21,artist,73,"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",9154692
7jdFEYD2LTYjfwxOdlVjmc,KALEO,artist,68,"icelandic indie, icelandic rock, modern alternative rock",1603063
6Te49r3A6f5BiIgBRxH7FH,Ninho,artist,79,"french hip hop, pop urbaine",8471318
5H1nN1SzW0qNeUEZvuXjAj,Danny Ocean,artist,75,"pop venezolano, reggaeton, trap latino, urbano latino",5144560
7iLc4hrjOjQPfg1E3cCHg1,Tim Berg,artist,50,"edm, pop dance, progressive electro house",212772
0hEurMDQu99nJRq8pTxO14,John Mayer,artist,75,"neo mellow, singer-songwriter",5927150
7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,artist,71,"contemporary country, country, country road",3024034
163tK9Wjr9P9DmM0AVK7lm,Lorde,artist,74,"art pop, metropopolis, nz pop, pop",9978766
06HL4z0CvFAxyc27GXpf02,Taylor Swift,artist,100,pop,82377431
09EYYUcfEDOvj3D5f45L99,MC Ingryd,artist,43,funk 150 bpm,97857
2rhFzFmezpnW82MNqEKVry,Ski Mask The Slump God,artist,72,"hip hop, miami hip hop, pop rap, rap, trap, underground hip hop",5497524
0RqtSIYZmd4fiBKVFqyIqD,Thirty Seconds To Mars,artist,67,"modern rock, post-grunge",3390040
3CJKkU0XuElRT1z8rEtIYg,Luciano,artist,72,"german drill, german hip hop",1915232
7iK8PXO48WeuP03g8YR51W,Myke Towers,artist,87,"reggaeton, trap latino, urbano latino",12064072
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,artist,68,"pop rap, portland hip hop, rap, underground hip hop",1879374
2feDdbD5araYcm6JhFHHw7,Labrinth,artist,77,"indie poptimism, pop",3001396
4ScCswdRlyA23odg9thgIO,Jess Glynne,artist,70,"pop, uk pop",3012139
4gOc8TsQed9eqnqJct2c5v,K/DA,artist,62,k-pop girl group,2078675
6Ha4aES39QiVjR0L2lwuwq,Yo Gotti,artist,67,"dirty south rap, gangster rap, memphis hip hop, rap, southern hip hop, tennessee hip hop, trap",4340051
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,artist,84,pop,21734604
0vRvGUQVUjytro0xpb26bs,Arizona Zervas,artist,64,"pop rap, rhode island rap",725678
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,artist,84,"atl hip hop, plugg, pluggnb, rage rap, rap",8569785
5wPoxI5si3eJsYYwyXV4Wi,N.E.R.D,artist,55,"hip hop, virginia hip hop",813789
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,artist,84,"reggaeton, reggaeton colombiano, trap latino, urbano latino",37699169
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,artist,75,"dance pop, latin pop, mexican pop",11288300
4kYSro6naA4h99UJvo89HB,Cardi B,artist,78,"pop, rap",21937038
0chh7dlaUzEreDTulHiOlm,KEiiNO,artist,43,"norwegian pop, sami",51930
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,artist,88,"chicago rap, hip hop, rap",20840514
602DnpaSXJB4b9DZrvxbDc,Peggy Lee,artist,55,"adult standards, torch song, vocal jazz",413280
7rkW85dBwwrJtlHRDkJDAC,NAV,artist,75,"canadian hip hop, canadian trap, melodic rap, rap, trap",3358487
02A3cEvlLLCbIMVDrK2GHV,Starley,artist,52,aussietronica,205353
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,artist,88,"puerto rican pop, reggaeton, trap latino, urbano latino",17898832
68Uwx1d3EbjDJhYsLjqvIq,Emma Stone,artist,55,hollywood,38567
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,artist,75,"hip pop, pop",13658702
5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,artist,70,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap",4569261
1aS5tqEs9ci5P9KD9tZWa6,Bonez MC,artist,74,"german hip hop, hamburg hip hop",2127626
0epOFNiUfyON9EYx7Tpr6V,The Strokes,artist,74,"alternative rock, garage rock, modern rock, permanent wave, rock",5126131
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,artist,84,"conscious hip hop, hip hop, north carolina hip hop, rap",20991348
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,artist,76,"boy band, pop",7133904
